年月,地區,性別,食品餐飲類未滿20[筆數],食品餐飲類未滿20[金額，新台幣],衣著飾品類未滿20[筆數],衣著飾品類未滿20[金額，新台幣],旅館住宿類未滿20[筆數],旅館住宿類未滿20[金額，新台幣],交通類未滿20[筆數],交通類未滿20[金額，新台幣],文教康樂類未滿20[筆數],文教康樂類未滿20[金額，新台幣],百貨類未滿20[筆數],百貨類未滿20[金額，新台幣],其他類未滿20[筆數],其他類未滿20[金額，新台幣],食品餐飲類20[含]-25[筆數],食品餐飲類20[含]-25[金額，新台幣],衣著飾品類20[含]-25[筆數],衣著飾品類20[含]-25[金額，新台幣],旅館住宿類20[含]-25[筆數],旅館住宿類20[含]-25[金額，新台幣],交通類20[含]-25[筆數],交通類20[含]-25[金額，新台幣],文教康樂類20[含]-25[筆數],文教康樂類20[含]-25[金額，新台幣],百貨類20[含]-25[筆數],百貨類20[含]-25[金額，新台幣],其他類20[含]-25[筆數],其他類20[含]-25[金額，新台幣],食品餐飲類25[含]-30[筆數],食品餐飲類25[含]-30[金額，新台幣],衣著飾品類25[含]-30[筆數],衣著飾品類25[含]-30[金額，新台幣],旅館住宿類25[含]-30[筆數],旅館住宿類25[含]-30[金額，新台幣],交通類25[含]-30[筆數],交通類25[含]-30[金額，新台幣],文教康樂類25[含]-30[筆數],文教康樂類25[含]-30[金額，新台幣],百貨類25[含]-30[筆數],百貨類25[含]-30[金額，新台幣],其他類25[含]-30[筆數],其他類25[含]-30[金額，新台幣],食品餐飲類30[含]-35[筆數],食品餐飲類30[含]-35[金額，新台幣],衣著飾品類30[含]-35[筆數],衣著飾品類30[含]-35[金額，新台幣],旅館住宿類30[含]-35[筆數],旅館住宿類30[含]-35[金額，新台幣],交通類30[含]-35[筆數],交通類30[含]-35[金額，新台幣],文教康樂類30[含]-35[筆數],文教康樂類30[含]-35[金額，新台幣],百貨類30[含]-35[筆數],百貨類30[含]-35[金額，新台幣],其他類30[含]-35[筆數],其他類30[含]-35[金額，新台幣],食品餐飲類35[含]-40[筆數],食品餐飲類35[含]-40[金額，新台幣],衣著飾品類35[含]-40[筆數],衣著飾品類35[含]-40[金額，新台幣],旅館住宿類35[含]-40[筆數],旅館住宿類35[含]-40[金額，新台幣],交通類35[含]-40[筆數],交通類35[含]-40[金額，新台幣],文教康樂類35[含]-40[筆數],文教康樂類35[含]-40[金額，新台幣],百貨類35[含]-40[筆數],百貨類35[含]-40[金額，新台幣],其他類35[含]-40[筆數],其他類35[含]-40[金額，新台幣],食品餐飲類40[含]-45[筆數],食品餐飲類40[含]-45[金額，新台幣],衣著飾品類40[含]-45[筆數],衣著飾品類40[含]-45[金額，新台幣],旅館住宿類40[含]-45[筆數],旅館住宿類40[含]-45[金額，新台幣],交通類40[含]-45[筆數],交通類40[含]-45[金額，新台幣],文教康樂類40[含]-45[筆數],文教康樂類40[含]-45[金額，新台幣],百貨類40[含]-45[筆數],百貨類40[含]-45[金額，新台幣],其他類40[含]-45[筆數],其他類40[含]-45[金額，新台幣],食品餐飲類45[含]-50[筆數],食品餐飲類45[含]-50[金額，新台幣],衣著飾品類45[含]-50[筆數],衣著飾品類45[含]-50[金額，新台幣],旅館住宿類45[含]-50[筆數],旅館住宿類45[含]-50[金額，新台幣],交通類45[含]-50[筆數],交通類45[含]-50[金額，新台幣],文教康樂類45[含]-50[筆數],文教康樂類45[含]-50[金額，新台幣],百貨類45[含]-50[筆數],百貨類45[含]-50[金額，新台幣],其他類45[含]-50[筆數],其他類45[含]-50[金額，新台幣],食品餐飲類50[含]-55[筆數],食品餐飲類50[含]-55[金額，新台幣],衣著飾品類50[含]-55[筆數],衣著飾品類50[含]-55[金額，新台幣],旅館住宿類50[含]-55[筆數],旅館住宿類50[含]-55[金額，新台幣],交通類50[含]-55[筆數],交通類50[含]-55[金額，新台幣],文教康樂類50[含]-55[筆數],文教康樂類50[含]-55[金額，新台幣],百貨類50[含]-55[筆數],百貨類50[含]-55[金額，新台幣],其他類50[含]-55[筆數],其他類50[含]-55[金額，新台幣],食品餐飲類55[含]-60[筆數],食品餐飲類55[含]-60[金額，新台幣],衣著飾品類55[含]-60[筆數],衣著飾品類55[含]-60[金額，新台幣],旅館住宿類55[含]-60[筆數],旅館住宿類55[含]-60[金額，新台幣],交通類55[含]-60[筆數],交通類55[含]-60[金額，新台幣],文教康樂類55[含]-60[筆數],文教康樂類55[含]-60[金額，新台幣],百貨類55[含]-60[筆數],百貨類55[含]-60[金額，新台幣],其他類55[含]-60[筆數],其他類55[含]-60[金額，新台幣],食品餐飲類60[含]-65[筆數],食品餐飲類60[含]-65[金額，新台幣],衣著飾品類60[含]-65[筆數],衣著飾品類60[含]-65[金額，新台幣],旅館住宿類60[含]-65[筆數],旅館住宿類60[含]-65[金額，新台幣],交通類60[含]-65[筆數],交通類60[含]-65[金額，新台幣],文教康樂類60[含]-65[筆數],文教康樂類60[含]-65[金額，新台幣],百貨類60[含]-65[筆數],百貨類60[含]-65[金額，新台幣],其他類60[含]-65[筆數],其他類60[含]-65[金額，新台幣],食品餐飲類65[含]-70[筆數],食品餐飲類65[含]-70[金額，新台幣],衣著飾品類65[含]-70[筆數],衣著飾品類65[含]-70[金額，新台幣],旅館住宿類65[含]-70[筆數],旅館住宿類65[含]-70[金額，新台幣],交通類65[含]-70[筆數],交通類65[含]-70[金額，新台幣],文教康樂類65[含]-70[筆數],文教康樂類65[含]-70[金額，新台幣],百貨類65[含]-70[筆數],百貨類65[含]-70[金額，新台幣],其他類65[含]-70[筆數],其他類65[含]-70[金額，新台幣],食品餐飲類70[含]-75[筆數],食品餐飲類70[含]-75[金額，新台幣],衣著飾品類70[含]-75[筆數],衣著飾品類70[含]-75[金額，新台幣],旅館住宿類70[含]-75[筆數],旅館住宿類70[含]-75[金額，新台幣],交通類70[含]-75[筆數],交通類70[含]-75[金額，新台幣],文教康樂類70[含]-75[筆數],文教康樂類70[含]-75[金額，新台幣],百貨類70[含]-75[筆數],百貨類70[含]-75[金額，新台幣],其他類70[含]-75[筆數],其他類70[含]-75[金額，新台幣],食品餐飲類75[含]-80[筆數],食品餐飲類75[含]-80[金額，新台幣],衣著飾品類75[含]-80[筆數],衣著飾品類75[含]-80[金額，新台幣],旅館住宿類75[含]-80[筆數],旅館住宿類75[含]-80[金額，新台幣],交通類75[含]-80[筆數],交通類75[含]-80[金額，新台幣],文教康樂類75[含]-80[筆數],文教康樂類75[含]-80[金額，新台幣],百貨類75[含]-80[筆數],百貨類75[含]-80[金額，新台幣],其他類75[含]-80[筆數],其他類75[含]-80[金額，新台幣],食品餐飲類80[含]以上[筆數],食品餐飲類80[含]以上[金額，新台幣],衣著飾品類80[含]以上[筆數],衣著飾品類80[含]以上[金額，新台幣],旅館住宿類80[含]以上[筆數],旅館住宿類80[含]以上[金額，新台幣],交通類80[含]以上[筆數],交通類80[含]以上[金額，新台幣],文教康樂類80[含]以上[筆數],文教康樂類80[含]以上[金額，新台幣],百貨類80[含]以上[筆數],百貨類80[含]以上[金額，新台幣],其他類80[含]以上[筆數],其他類80[含]以上[金額，新台幣]
103年01月,台灣,女性,6367,5630047,2530,5136820,863,2646951,8667,5330730,4669,21169066,5872,11794450,7755,10343486,161676,183810183,61416,141537155,25353,89107123,183382,126563809,99224,295395830,147438,313875867,238496,538222055,531329,716481801,171894,429042854,83720,349610672,519521,447573959,266763,954549549,465417,1100421237,842877,1953637557,959999,1404051220,304144,792412493,148789,684431407,748247,755189680,365586,1495385204,780601,1912333469,1446248,3669123747,1238121,1838346773,354979,958120114,184001,917024301,774249,860115925,395379,1825121251,890917,2296828045,1646049,4785965309,1322535,2030080753,329681,967435761,193448,1020457469,717436,837983340,375627,2063412404,826221,2336269912,1534392,5038047937,1235337,1938853416,264694,896308316,180897,1026409941,622035,742245609,303692,1954559660,677773,2121979058,1327418,5019792481,956823,1570283907,166614,651447643,140203,783845845,472357,564143557,192584,1365779855,448195,1596488766,935969,4000279515,654915,1080362829,93533,409716915,91729,563711833,284858,344248657,105359,785637839,270259,985888820,560310,2596157288,386736,617305513,45569,203221744,48039,267251315,133953,155854912,51079,406127605,146400,516820152,275456,1323791156,133363,199052101,13304,57662049,15473,80795927,36835,41044769,15453,131422023,47565,165428702,74851,410635044,54349,82834404,4213,20586838,5659,30130337,11513,13364651,5456,54178147,18877,67382284,25041,151883084,17844,27244702,1160,5634529,1973,13429677,2772,3549711,1766,18209158,7330,25281412,6885,38569379,14731,26009002,4641,20031064,2590,17404327,5242,7677708,5004,44407782,8301,26576869,17461,105369698
103年02月,台灣,女性,5557,4965833,2078,4021366,882,3099999,7677,5123918,5099,17297851,5695,10541876,7330,16441352,135603,143145844,46864,101832950,23008,70452872,160261,117870940,106142,316372690,136526,295491373,211168,460362285,435086,524280350,119769,285306818,71363,256420066,457438,414752373,271688,967949520,403653,941826096,741879,1622287036,779241,968039952,197793,490669167,123231,497631632,666266,684115951,361401,1444659346,650415,1521041571,1280876,3065686713,995923,1202989483,215989,546254476,148300,638633286,691572,778097276,389609,1632269815,721292,1717890774,1470565,3970834417,1059655,1291351831,197769,541557477,149431,691526337,640309,741659963,387380,2025281590,661240,1723216807,1377573,4259121180,983078,1237100879,169339,531810499,136824,698192043,560746,663758545,334348,2474299329,550354,1590289768,1196979,4334054477,738107,977986161,119165,430210792,103894,509552097,427119,507488629,208940,1708198830,373804,1234994003,842009,3392308877,489224,668079023,69341,279504842,67044,354902748,255783,312969696,106435,793672617,224071,770226917,497971,2165731895,284980,382151244,34855,139961738,34474,166503557,120110,144161949,50357,365195383,118645,393756598,244139,1070496663,97515,133314472,9998,40842986,11033,55264788,32861,39522707,15036,128185045,37352,126369408,65791,311667355,38769,52802841,3302,13365755,4237,19852197,10121,11227730,5278,48046590,14540,48289600,21619,138393565,13363,20160588,861,3684268,1548,10635746,2535,3848962,1683,15353968,5391,18516054,5799,29470419,10758,19095719,2978,12227557,2088,13708870,4489,6864215,4985,46521446,6794,22098413,15390,92901542
103年03月,台灣,女性,6328,5030582,2294,4115659,753,1852200,10135,6678326,4653,11622497,5423,9374201,8723,10143672,161371,161168786,54162,112406244,22718,69522304,195664,141459475,114495,311800057,136493,270043990,247373,502206485,506697,587445544,144478,339442221,71436,264864394,534026,480489798,295988,1045007301,416052,921471496,861860,1874127109,917019,1093690490,241049,588683898,124110,533018434,769856,789695880,386517,1595206422,681922,1591734718,1485447,3584480056,1178652,1343298208,254228,653307082,146025,648339548,796746,895706730,395648,1670940441,742206,1788879959,1693462,4703646418,1236763,1388167190,216691,598478442,142742,690194461,729760,848932076,351568,1591391061,644566,1688509267,1553855,4945688065,1136927,1303115024,181006,586219701,130875,709381669,634619,752518491,282752,1469277885,525668,1557238831,1344403,4840040279,865378,1042812476,127868,473511373,103689,558902234,484998,584579844,191667,1222563996,362120,1220246292,958948,3989243179,588008,735453939,78610,320583714,69622,416656193,296787,363073481,113079,870846082,229670,808371848,575571,2752175817,349749,425972562,40148,165283990,37231,200633492,142725,173810740,58782,513748513,128419,442445504,285878,1528778193,122558,144305991,12056,50521591,12392,64335573,39921,48464706,18733,187942216,42402,152930998,79095,464977833,48873,58766625,3742,16642737,4640,25289849,12393,15728875,6600,76123301,16463,59839231,25252,156958766,16535,21011024,1092,5349587,1660,12132894,3131,4676913,2088,26442135,6334,21172494,6910,59529430,13152,19633891,3481,14352481,2119,12585512,5439,8341034,5111,43015061,7398,23208641,17732,111980231
103年04月,台灣,女性,5698,4407263,2121,3665589,618,1658603,8915,5755719,4138,13696598,5022,9549942,8170,11049526,151143,150201797,52060,106758741,21028,72302700,186540,129405967,108713,301003215,142461,314489810,234954,479516390,479327,546846960,143379,329826688,67059,279460814,509810,442130096,277831,984325626,448413,1144011675,821979,1793388030,875688,1033456612,244581,594261591,118930,561647489,738696,736333246,364627,1542355061,743380,1992287616,1415764,3509780183,1135694,1273070183,259723,652418407,141684,704719717,767789,843990273,374298,1675373369,805426,2218976245,1623071,4622734321,1198551,1336506576,215657,586343389,139512,761088860,702872,809397000,331874,1608714006,699675,2088350736,1478275,4787162563,1109477,1270085342,174724,547699559,129104,766129055,611805,720404840,264644,1515001928,570729,1921494480,1279126,4654010314,847880,1015121922,121167,444532015,100771,600282043,466385,549574755,179282,1320292549,397773,1560070013,908416,3804714751,576570,705677541,72926,300147538,67441,433046271,285626,344788288,106233,970591549,253976,1053301769,546949,2604886544,342177,418401773,37563,151718493,35877,204919964,137167,160835640,55596,574104370,139261,564564011,271423,1385490639,121843,150500078,11810,53603089,11946,69471596,39256,44543096,18227,230020392,48456,196226536,77395,427033992,48564,58987553,3778,18696968,4595,23220734,11946,14257580,6650,91780916,18351,76843870,24479,179271183,16254,19290397,1077,5309902,1623,8244109,2990,4176154,2035,28392428,7046,30646926,6483,45568478,12915,19482875,3548,15012631,2148,16054713,5144,7653298,5118,51286668,7545,30434160,17817,103488713
103年05月,台灣,女性,6343,5609703,2459,4425769,739,2663260,9808,8065135,4661,20488820,5857,12044207,9025,10496259,169575,180075115,59474,117750729,23168,79566551,201987,146605271,117537,324980913,154718,314839303,256973,533250365,535806,648343495,156920,355174452,75046,304164408,543906,480037531,294529,1035586731,461677,1048672107,906657,2274544984,964958,1203923167,260282,620824738,132752,603577464,785356,788845438,381704,1615784574,749864,1752640180,1529880,4654030535,1241556,1481618074,277816,689813470,158446,748185907,822653,917360030,393960,1886855889,821453,1978473571,1726812,6347527092,1297591,1542748517,237242,635591262,154047,793645438,751735,882509250,350787,1949358568,719967,1885680399,1559874,6876621093,1197470,1455106673,190814,599804213,141151,790883990,648657,779065311,282039,1843196804,597138,1770056072,1348038,6985205778,913238,1195509818,130930,467725864,110437,619682215,492803,588513674,185698,1485138067,419028,1427088889,963385,6191788567,621504,818963141,78048,308628130,74719,456076045,300060,362539974,109140,1044779174,268897,982892832,581257,4249983486,370027,479716945,40345,161718494,40183,230455854,143160,170390127,56528,653342597,149441,516606641,292313,2593981281,130549,164875378,12414,51686945,13504,75059590,40767,47287690,18607,252260041,51060,173587654,82680,734378230,51105,65297457,4085,17798961,4903,27254725,12424,14879021,6513,96847059,19070,65862487,26596,313864161,17089,21943363,1155,5340465,1695,9128094,3023,3983632,2026,33840791,7357,24752910,7546,177866734,13873,21180580,3742,15724915,2313,17087250,5373,8485872,5507,54769866,8202,25776320,18786,145133904
103年06月,台灣,女性,6759,5791938,2613,4878656,901,2679410,8878,7949653,5243,28793729,6224,12266267,8841,11053445,168132,171212394,60262,116086793,24707,81764979,198638,144321479,119517,329182344,147310,286249508,249593,514093652,528360,598743971,155713,336682273,74860,304476139,532756,471531810,298449,950632320,437490,929750512,856416,1930476129,956398,1115102045,254196,577669636,133209,595479093,765610,775415928,382404,1467589307,719041,1565178677,1456030,3731130403,1244444,1411599258,273161,655163517,163058,771230691,808763,916013968,404528,1883476293,812735,1839921261,1679822,5024462861,1297897,1463642770,238635,628184376,160306,817314194,744061,888295831,370518,2214961438,725794,1818369515,1524978,5318597305,1204970,1405323112,195980,584536663,148272,819365827,651822,792190669,298318,2112044733,599560,1693612566,1324718,5295959752,912303,1119726694,132353,459000868,115482,637952887,496785,604239593,188301,1460424335,409498,1335238629,942197,4396096593,616707,767769315,77528,295586282,75077,451435664,300363,360802439,105979,927260925,254863,849310771,564294,2928139948,365421,443929394,39819,152437152,40204,224513968,145086,170823847,53788,551069554,141681,452464641,280076,1529254582,129254,155002572,12565,48024845,13677,75899577,40909,49653140,17122,201356256,48874,160042696,79345,490191793,50691,59076556,4316,17858821,4896,25294196,12849,14877340,6282,86700391,18166,56233289,24918,192701257,17052,20944057,1213,6006884,1712,9042480,3226,4145198,1960,26940038,6940,21741939,7028,69723725,13439,21062441,3753,14671020,2344,15964964,5335,8260227,5289,51527885,8083,23902083,18373,125923762
103年07月,台灣,女性,7722,6461894,2680,5027539,1122,3039841,8105,6994304,5435,32128575,6954,13483369,8926,10947877,183757,183541312,58965,111939547,27323,91613921,199927,147355525,102634,314754359,151083,291233557,249172,513193207,583378,647182050,158810,334861185,81396,332085799,556562,489686370,262447,924838223,448126,921621212,849273,1801778329,1067752,1214614896,261531,581974884,143050,646533645,802646,808213631,375995,1443797268,750235,1571980258,1448227,3443327876,1406080,1586221532,291010,668821421,183601,883810727,864711,969360179,431776,1902576228,869389,1870390429,1687660,4621631507,1470265,1668143681,255092,633825386,191274,992039637,790598,935078101,403343,2228868155,779476,1836767486,1532162,4771672297,1382534,1624858448,212650,618479198,177864,994181510,685375,836369459,320341,2158486186,644542,1734483029,1337629,4838471707,1052708,1295713896,142737,465676876,130903,739085985,515275,625658065,197244,1468166845,433542,1309983751,950969,3962637525,708748,876751166,82729,301761939,82246,493508479,311492,376904627,107318,844268043,266012,841086306,567744,2650257481,423132,504122117,42359,155473498,44086,247567233,150857,180829320,53532,454057849,147177,446105616,281087,1472953651,151713,177139362,12887,49925356,15086,84349925,42314,49295359,17256,167538165,51447,156087776,79662,466477561,59669,70434662,4196,16102141,5499,29400978,13167,16180617,6303,74137085,19181,61206077,25080,183484432,19654,23890103,1187,5011058,1979,11013486,3231,4100337,1894,26867108,7194,22340228,6995,51815566,15838,23893719,3982,15674386,2638,17638376,5654,9617261,5376,45288462,8298,26316305,19293,116080834
103年08月,台灣,女性,8630,7852619,2873,5169004,1311,4243878,9296,7647924,7815,29354192,7812,15418076,9939,16048921,197816,215564458,59104,111964608,28199,90549041,205142,148673418,157542,372254582,155301,308986095,260280,514904933,626811,769117381,151370,313653700,82104,313817381,568249,488504382,374375,1059155625,454744,966496052,883223,1829577954,1122430,1400351236,251983,545238489,144094,612812897,814278,795313128,448879,1577610697,745559,1606925729,1475461,3441153979,1477190,1804825079,284201,631224924,188773,839602514,875038,953710548,469518,1968100002,853399,1884128514,1690849,4558288816,1547769,1917028438,253391,609807552,195769,963825534,802834,910895092,441953,2433328420,761954,1851041139,1532348,4834025010,1464466,1862259033,213254,588867519,179569,942026366,699698,811441999,366027,2603442384,641052,1723828193,1349614,4935516101,1124168,1475156995,145209,464333367,130622,702951987,526749,613971714,222726,1768043497,432851,1263658063,959647,4040459566,754202,999465564,83959,293123231,79803,437487615,318775,369888849,116568,942200118,262491,832352676,567769,2678609489,446173,567170451,42426,149796641,43175,228875770,154337,176960815,57678,508685525,144345,436622818,283427,1461899766,160194,196796072,12963,48928472,14825,76220610,44058,48320170,18544,188730312,50023,149760245,81003,454456006,61513,76302201,4049,14908623,5503,27172794,13357,14930279,6471,77594634,17960,56376013,25140,191409284,20489,26945779,1118,4761784,1868,9541560,3458,4650048,1920,22762305,7046,22756199,7070,51009639,16627,26937079,3703,14013663,2622,16219991,5765,9428847,5654,53903138,8148,24233649,19618,119958847
103年09月,台灣,女性,8783,7181047,2930,5097981,1592,4498362,10498,7680729,6461,19419870,7044,12831010,10615,17071508,176643,178812501,56668,112368474,26374,81622922,195692,138239365,125319,340116429,144394,312042662,261319,571053064,544558,661247343,144422,327407184,73587,288320641,537162,463105092,302497,1061326215,421602,1070149149,884494,2002684886,984691,1143426003,232675,551863628,126425,556884170,769521,743183889,394711,1663228545,692594,1851772430,1488654,3698884992,1296648,1449315061,247269,610781828,152584,699034913,815652,869482329,420319,1825476777,765026,2150280439,1735213,4985649577,1352970,1509863947,209060,561503979,153245,750030509,740636,811672581,387008,1987554420,659549,2056488555,1581291,5277702318,1273532,1467836789,178984,561976408,148794,762902533,657808,740570424,332810,2348654291,554058,1944158700,1387882,5482557739,977344,1182771217,127563,445949311,116413,620095665,505174,582790426,215057,1845597732,388883,1529354860,1002158,4763917817,659166,811155836,76453,294505288,73664,420117908,308523,356604818,117446,1137726122,242700,1046616444,598694,3000493800,395129,478416920,38866,154567165,39809,216613855,149454,169991359,59343,665737610,136252,577424769,302216,1702652346,144511,166665890,12298,52116762,13485,71458447,43023,47518519,19539,248419495,47645,201851767,88373,617629998,55052,65829625,3689,17056912,4906,22637763,12899,14938326,6914,96721714,17210,78936193,27194,259018194,18564,22627779,1039,4476865,1741,10039969,3360,3768439,2171,30041430,6863,29111162,7643,66307474,14503,21494468,3353,15210047,2370,18261457,5334,8580597,5622,57807627,7150,27029351,20343,140105859
103年10月,台灣,女性,7926,5992273,3442,6338280,957,2250395,10834,7567100,5690,13056066,7505,15239643,10572,20701463,172900,166056795,66710,140844684,25760,81288689,204619,134899808,130689,315671563,193236,472958958,271923,641716476,530148,597998108,165778,397231659,76001,292816555,548868,456964654,316972,1050211701,580627,1669899156,905280,2202118428,973032,1113037423,268946,682165122,133421,573114248,796169,746833210,406071,1615523259,950317,2823814366,1504056,3918967686,1300911,1433993854,285865,745715223,162106,721248417,848875,872070860,421073,1792963321,1055478,3212962760,1732292,5009346336,1349463,1476781368,226971,640646768,155838,739143241,762270,811074143,367323,1704290640,915077,2980444558,1550463,4991569585,1255936,1409840719,186372,608146296,145367,744495768,670174,731045845,301288,1617055628,767843,2821187969,1355677,4921555112,965416,1137055581,129101,466552559,117215,629210360,517208,572284481,204210,1416194683,547869,2242584955,980405,4053737873,657803,795447777,78556,319856873,78295,448740296,322500,360294492,120586,1035112562,351812,1546773485,588899,2674340010,399865,476222588,41029,171921685,43628,233133265,159177,177728361,63748,647838514,198376,850993819,299617,1492705176,147825,170512983,12886,59292645,14869,80697755,46818,49589543,21446,243386563,69179,305622998,88569,476320811,56339,65484120,4116,21096664,5377,26469313,13883,14873978,7494,95124643,24846,107397455,27160,176099717,19139,22879108,1051,5666906,1916,11678143,3583,4092909,2289,29270831,9625,42966839,7729,57916199,14575,21466809,3717,17610371,2305,18916017,5493,8071411,5702,55190578,9565,35534832,20108,124909815
