年月	地區	性別	食品餐飲類未滿20[筆數]	食品餐飲類未滿20[金額，新台幣]	衣著飾品類未滿20[筆數]	衣著飾品類未滿20[金額，新台幣]	旅館住宿類未滿20[筆數]	旅館住宿類未滿20[金額，新台幣]	交通類未滿20[筆數]	交通類未滿20[金額，新台幣]	文教康樂類未滿20[筆數]	文教康樂類未滿20[金額，新台幣]	百貨類未滿20[筆數]	百貨類未滿20[金額，新台幣]	其他類未滿20[筆數]	其他類未滿20[金額，新台幣]	食品餐飲類20[含]-25[筆數]	食品餐飲類20[含]-25[金額，新台幣]	衣著飾品類20[含]-25[筆數]	衣著飾品類20[含]-25[金額，新台幣]	旅館住宿類20[含]-25[筆數]	旅館住宿類20[含]-25[金額，新台幣]	交通類20[含]-25[筆數]	交通類20[含]-25[金額，新台幣]	文教康樂類20[含]-25[筆數]	文教康樂類20[含]-25[金額，新台幣]	百貨類20[含]-25[筆數]	百貨類20[含]-25[金額，新台幣]	其他類20[含]-25[筆數]	其他類20[含]-25[金額，新台幣]	食品餐飲類25[含]-30[筆數]	食品餐飲類25[含]-30[金額，新台幣]	衣著飾品類25[含]-30[筆數]	衣著飾品類25[含]-30[金額，新台幣]	旅館住宿類25[含]-30[筆數]	旅館住宿類25[含]-30[金額，新台幣]	交通類25[含]-30[筆數]	交通類25[含]-30[金額，新台幣]	文教康樂類25[含]-30[筆數]	文教康樂類25[含]-30[金額，新台幣]	百貨類25[含]-30[筆數]	百貨類25[含]-30[金額，新台幣]	其他類25[含]-30[筆數]	其他類25[含]-30[金額，新台幣]	食品餐飲類30[含]-35[筆數]	食品餐飲類30[含]-35[金額，新台幣]	衣著飾品類30[含]-35[筆數]	衣著飾品類30[含]-35[金額，新台幣]	旅館住宿類30[含]-35[筆數]	旅館住宿類30[含]-35[金額，新台幣]	交通類30[含]-35[筆數]	交通類30[含]-35[金額，新台幣]	文教康樂類30[含]-35[筆數]	文教康樂類30[含]-35[金額，新台幣]	百貨類30[含]-35[筆數]	百貨類30[含]-35[金額，新台幣]	其他類30[含]-35[筆數]	其他類30[含]-35[金額，新台幣]	食品餐飲類35[含]-40[筆數]	食品餐飲類35[含]-40[金額，新台幣]	衣著飾品類35[含]-40[筆數]	衣著飾品類35[含]-40[金額，新台幣]	旅館住宿類35[含]-40[筆數]	旅館住宿類35[含]-40[金額，新台幣]	交通類35[含]-40[筆數]	交通類35[含]-40[金額，新台幣]	文教康樂類35[含]-40[筆數]	文教康樂類35[含]-40[金額，新台幣]	百貨類35[含]-40[筆數]	百貨類35[含]-40[金額，新台幣]	其他類35[含]-40[筆數]	其他類35[含]-40[金額，新台幣]	食品餐飲類40[含]-45[筆數]	食品餐飲類40[含]-45[金額，新台幣]	衣著飾品類40[含]-45[筆數]	衣著飾品類40[含]-45[金額，新台幣]	旅館住宿類40[含]-45[筆數]	旅館住宿類40[含]-45[金額，新台幣]	交通類40[含]-45[筆數]	交通類40[含]-45[金額，新台幣]	文教康樂類40[含]-45[筆數]	文教康樂類40[含]-45[金額，新台幣]	百貨類40[含]-45[筆數]	百貨類40[含]-45[金額，新台幣]	其他類40[含]-45[筆數]	其他類40[含]-45[金額，新台幣]	食品餐飲類45[含]-50[筆數]	食品餐飲類45[含]-50[金額，新台幣]	衣著飾品類45[含]-50[筆數]	衣著飾品類45[含]-50[金額，新台幣]	旅館住宿類45[含]-50[筆數]	旅館住宿類45[含]-50[金額，新台幣]	交通類45[含]-50[筆數]	交通類45[含]-50[金額，新台幣]	文教康樂類45[含]-50[筆數]	文教康樂類45[含]-50[金額，新台幣]	百貨類45[含]-50[筆數]	百貨類45[含]-50[金額，新台幣]	其他類45[含]-50[筆數]	其他類45[含]-50[金額，新台幣]	食品餐飲類50[含]-55[筆數]	食品餐飲類50[含]-55[金額，新台幣]	衣著飾品類50[含]-55[筆數]	衣著飾品類50[含]-55[金額，新台幣]	旅館住宿類50[含]-55[筆數]	旅館住宿類50[含]-55[金額，新台幣]	交通類50[含]-55[筆數]	交通類50[含]-55[金額，新台幣]	文教康樂類50[含]-55[筆數]	文教康樂類50[含]-55[金額，新台幣]	百貨類50[含]-55[筆數]	百貨類50[含]-55[金額，新台幣]	其他類50[含]-55[筆數]	其他類50[含]-55[金額，新台幣]	食品餐飲類55[含]-60[筆數]	食品餐飲類55[含]-60[金額，新台幣]	衣著飾品類55[含]-60[筆數]	衣著飾品類55[含]-60[金額，新台幣]	旅館住宿類55[含]-60[筆數]	旅館住宿類55[含]-60[金額，新台幣]	交通類55[含]-60[筆數]	交通類55[含]-60[金額，新台幣]	文教康樂類55[含]-60[筆數]	文教康樂類55[含]-60[金額，新台幣]	百貨類55[含]-60[筆數]	百貨類55[含]-60[金額，新台幣]	其他類55[含]-60[筆數]	其他類55[含]-60[金額，新台幣]	食品餐飲類60[含]-65[筆數]	食品餐飲類60[含]-65[金額，新台幣]	衣著飾品類60[含]-65[筆數]	衣著飾品類60[含]-65[金額，新台幣]	旅館住宿類60[含]-65[筆數]	旅館住宿類60[含]-65[金額，新台幣]	交通類60[含]-65[筆數]	交通類60[含]-65[金額，新台幣]	文教康樂類60[含]-65[筆數]	文教康樂類60[含]-65[金額，新台幣]	百貨類60[含]-65[筆數]	百貨類60[含]-65[金額，新台幣]	其他類60[含]-65[筆數]	其他類60[含]-65[金額，新台幣]	食品餐飲類65[含]-70[筆數]	食品餐飲類65[含]-70[金額，新台幣]	衣著飾品類65[含]-70[筆數]	衣著飾品類65[含]-70[金額，新台幣]	旅館住宿類65[含]-70[筆數]	旅館住宿類65[含]-70[金額，新台幣]	交通類65[含]-70[筆數]	交通類65[含]-70[金額，新台幣]	文教康樂類65[含]-70[筆數]	文教康樂類65[含]-70[金額，新台幣]	百貨類65[含]-70[筆數]	百貨類65[含]-70[金額，新台幣]	其他類65[含]-70[筆數]	其他類65[含]-70[金額，新台幣]	食品餐飲類70[含]-75[筆數]	食品餐飲類70[含]-75[金額，新台幣]	衣著飾品類70[含]-75[筆數]	衣著飾品類70[含]-75[金額，新台幣]	旅館住宿類70[含]-75[筆數]	旅館住宿類70[含]-75[金額，新台幣]	交通類70[含]-75[筆數]	交通類70[含]-75[金額，新台幣]	文教康樂類70[含]-75[筆數]	文教康樂類70[含]-75[金額，新台幣]	百貨類70[含]-75[筆數]	百貨類70[含]-75[金額，新台幣]	其他類70[含]-75[筆數]	其他類70[含]-75[金額，新台幣]	食品餐飲類75[含]-80[筆數]	食品餐飲類75[含]-80[金額，新台幣]	衣著飾品類75[含]-80[筆數]	衣著飾品類75[含]-80[金額，新台幣]	旅館住宿類75[含]-80[筆數]	旅館住宿類75[含]-80[金額，新台幣]	交通類75[含]-80[筆數]	交通類75[含]-80[金額，新台幣]	文教康樂類75[含]-80[筆數]	文教康樂類75[含]-80[金額，新台幣]	百貨類75[含]-80[筆數]	百貨類75[含]-80[金額，新台幣]	其他類75[含]-80[筆數]	其他類75[含]-80[金額，新台幣]	食品餐飲類80[含]以上[筆數]	食品餐飲類80[含]以上[金額，新台幣]	衣著飾品類80[含]以上[筆數]	衣著飾品類80[含]以上[金額，新台幣]	旅館住宿類80[含]以上[筆數]	旅館住宿類80[含]以上[金額，新台幣]	交通類80[含]以上[筆數]	交通類80[含]以上[金額，新台幣]	文教康樂類80[含]以上[筆數]	文教康樂類80[含]以上[金額，新台幣]	百貨類80[含]以上[筆數]	百貨類80[含]以上[金額，新台幣]	其他類80[含]以上[筆數]	其他類80[含]以上[金額，新台幣]
103年01月	台灣	男性	5057	14105627	1225	3372107	1399	15114120	9903	11119895	3346	23051402	2851	9695287	6225	18070306	79851	103546670	18667	47403285	18020	75727843	181632	128494273	54025	200059365	44335	110021329	117170	300581406	381535	563368341	58913	157935601	89192	365090774	809176	678297010	183141	661289072	191654	550859939	557558	1499585105	771683	1228869324	94407	248068539	179305	792668345	1400125	1378088814	261736	1131766853	349086	980815983	1086762	3043514714	937626	1600952844	98961	254413214	211090	961125458	1447681	1663148006	250338	1255613135	380093	1086128681	1273411	3887979143	934160	1713934789	90621	244239197	206059	968515625	1341710	1692609399	235179	1425799815	328698	998473744	1132498	3841991927	868204	1622504354	79594	223735844	185719	916891636	1206062	1582093455	207291	1452802293	273913	895260170	933391	3484325719	702057	1357813839	54165	169007201	139812	710973837	992472	1325244973	151363	1213101321	196441	700405205	658438	2748512729	516813	1033784116	31640	111663401	99230	608611923	713167	945518376	98366	837939774	127735	472629545	428662	1908432773	370306	720444068	18111	67441142	63297	399731922	428978	556925457	63159	540349108	82878	306812239	255761	1262412637	160684	279892687	6616	25627584	25023	140044937	148463	178653538	25782	223815428	33700	120525071	89645	436301125	80398	132107504	2641	10332458	11199	60650385	55824	68264445	11700	99631120	15321	54923828	35526	184351947	36983	59655595	1025	4498425	4693	23221674	17333	21118904	4678	42297369	7525	23445317	12812	58710226	30221	52358455	1413	5041264	4714	34109771	16125	21028332	5033	41511716	6834	21411759	16380	93857542
103年02月	台灣	男性	4372	10158835	861	2514123	1135	10300405	8789	12837520	3287	19153667	2457	6927541	5392	14027428	70391	85402211	13782	34258949	15968	57811519	158970	117009945	60415	224621626	40258	98772074	105202	258954579	330491	436292602	40120	105712441	76391	267752523	716981	618097716	198326	696017777	168469	476521041	491269	1194481162	653673	880217185	63809	169826617	148614	562042493	1264064	1256038173	279330	1166355235	298765	844575387	972109	2471358499	777184	1059161325	60668	152092513	170693	677280840	1320487	1501306662	259689	1208935936	315328	882338454	1149629	3168388244	755989	1077129606	50476	127781195	160400	664890360	1217526	1515309738	239777	1305791130	268271	764745271	1019915	3075579692	698623	1051465299	43198	115077633	142927	647486379	1088191	1400189255	225899	1697170987	220464	683556021	840084	2933163100	555827	883001017	31310	95030364	106874	484061068	895977	1174077670	173618	1665773466	158567	518510574	595104	2357425734	400384	663862746	19532	69838711	74925	443705892	640053	840678662	106016	992380444	103465	354312988	379037	1585378103	281598	461281372	11464	42988938	47451	259372815	381877	494557566	62581	531380733	65271	232629856	223194	964166705	123797	197177301	4056	13998610	19220	97868303	132917	160664653	24988	209169821	26542	86151520	78127	337887699	60003	93071682	1794	6806718	8140	41205658	48740	60018535	11062	92694266	11871	39431918	30206	136975771	28042	44564428	733	2621080	3660	17516683	15095	17942713	4297	36487015	5571	17141935	10906	47592273	23197	38926392	834	3415965	3598	25149045	14220	19381564	4999	44311600	5295	14967274	14405	77452395
103年03月	台灣	男性	4712	10547340	813	3127630	1152	11719796	11133	14598835	3324	20141819	2371	5646936	7010	16630764	80252	92089210	14149	32065393	16270	60333739	189968	136950271	64654	221680617	38894	84644892	120195	282228462	363740	465926268	43557	110344984	77323	286436167	812664	683794228	217808	744601888	161143	419435320	558798	1367621163	724889	974052324	69915	177296315	151478	590390140	1413238	1389552001	298183	1247413980	292008	763616456	1105543	2845130040	868515	1171534882	66209	161997728	172813	723768533	1467324	1671205074	263504	1250203953	310977	821025930	1312856	3642902525	849189	1146525029	51891	133608546	160396	686408866	1344306	1706636909	228790	1186752169	260424	703340505	1161804	3568000019	781180	1092781135	42564	111991000	141166	674864738	1209318	1580824696	194427	1109521820	212207	625190752	948540	3211182268	623855	907565494	31050	92234867	106863	502107033	994685	1319864617	148774	1046827946	155524	485168150	671106	2519242131	459240	693003552	20707	68073700	79431	492575755	723711	963259609	105938	895726564	106594	352786696	436297	1841435687	329913	488420882	12653	44531935	51378	305388205	439632	580765022	69948	655169620	70942	239978199	261004	1209797418	147995	205125829	4839	16540479	21106	114147364	157326	193678244	30181	303797964	30124	96337977	93561	437547317	71451	94378026	1913	6700644	9000	43792868	57848	71072512	13798	142170380	13047	40120757	36418	193297222	33726	42761956	748	2639195	4068	17994592	18561	23081084	5487	60051348	6479	18505353	12948	63367384	26865	36956393	903	2890884	4356	36870973	16052	21954213	5537	49395055	6020	15798731	16646	91587516
103年04月	台灣	男性	4466	10100487	810	2813611	1113	16034766	10621	16013232	3040	18514648	2188	5853489	6710	17086791	75589	84234757	13772	29591837	15550	65378891	184991	129420058	61653	209354665	39353	92667139	115119	268366988	342663	427699175	42755	103435395	73197	288509627	782877	653049566	204385	728133158	164912	470854588	537077	1320338862	688413	900186960	70173	175966542	143401	620358239	1362876	1316991795	279214	1172812171	300747	874432818	1060807	2808783599	833088	1080589481	66816	158059471	168809	787665286	1419865	1595681173	251731	1226118309	322986	952788115	1263009	3700432588	816719	1089550194	54028	129369443	157220	741576292	1301581	1610008798	217202	1184180060	268911	783609632	1117389	3632603447	757069	1049771086	42560	108111892	139828	710847906	1166742	1506792383	186037	1128484898	219165	707125459	912894	3280720250	607627	869795424	30171	85967746	107647	546480328	960611	1268357135	143529	1064318188	161465	558195236	642412	2562361561	446319	649130168	19771	68438808	77587	496719909	693975	915000353	101322	954206884	109845	420355470	417915	1820936299	317261	461270204	12242	47860782	49922	307131185	419922	545528906	67342	708665888	71652	281178245	249413	1230442466	145325	194314894	4657	16517014	21470	114435812	152676	186470592	29692	348560508	30885	111988274	90820	458057195	68834	88614472	1978	7617661	8822	44059460	55161	67946576	13482	173450274	13294	44383449	34559	181461796	32426	40186457	730	2554110	3956	18226666	17565	20757399	5332	63729640	6576	18804835	12378	66203393	26066	34761529	888	2843618	4121	33006077	15472	20865523	5486	56281138	5797	17047985	16427	94157889
103年05月	台灣	男性	4949	11152631	994	2552584	1404	17523971	11283	15307260	3590	26534632	2753	7477416	7272	20927215	85241	100982152	16827	35479169	16664	60343632	198446	144994245	70714	247038349	44574	101734235	126609	303956837	387102	512138133	51148	119679782	80609	308596223	831656	712258324	229964	776951068	183658	494105263	592641	1778010026	772040	1063469627	80174	195773294	157216	647412859	1442514	1413371152	302221	1262078693	330976	891000155	1158455	4615265187	932480	1277332605	76152	178690706	182334	808286423	1511108	1721614153	266707	1341740919	350022	948702029	1358664	6169502791	905458	1281770558	61977	152346853	168937	758633172	1376839	1727740700	227330	1388017939	291635	830795298	1187127	6610974445	834580	1212624488	50732	127631519	149792	737681249	1226410	1596147434	193699	1346617652	239479	738912619	964660	6183204209	665593	1009682089	35070	99357568	114952	564146819	1006200	1334387982	146383	1226966139	176524	589455375	687187	5461318558	487441	753218566	22756	72824072	82410	481886183	722658	955362888	99850	1024230381	119652	431569220	443614	4466137394	343846	523339684	13772	49094752	53033	320038676	435035	569280635	66323	782780558	79990	283747094	265487	4047861677	157194	227211408	5310	19554736	21944	127659125	156640	189785754	28895	391482876	34280	119881604	97381	1664076561	74233	100487199	2023	6064554	9388	51881539	56698	69118779	13066	185400200	14801	48221875	37401	579230756	34728	45383988	804	2628623	4088	19184668	17921	21753183	5200	77748673	7223	22308882	13769	250569670	28024	39187316	1121	3351559	4299	29467321	16208	22042802	5387	61112240	6294	19279658	17415	192573303
103年06月	台灣	男性	5431	13391219	1058	3115870	1531	18933782	11325	17020076	4108	34809333	3054	9107760	7272	21337258	86969	100743521	17476	36220001	17834	64340890	201059	147846420	69222	241015984	43628	95270792	123041	292616243	384747	481743764	50885	115368277	81358	307216166	826349	708953610	223313	697137523	177432	451309032	559135	1422363594	771292	1012647099	80306	187968115	157717	661759670	1425662	1408430511	301984	1155062096	320304	808311460	1089664	3080749427	935729	1212193613	75454	169382937	183658	808027911	1493145	1703560290	273043	1309573037	346693	884275063	1297825	4209417348	907910	1224811682	61247	141185671	170906	788682414	1358842	1719103323	240014	1539811445	292766	774098388	1139334	4300401290	835667	1160884947	50628	122822388	152410	741740434	1231390	1621432813	208653	1608493380	241497	696751901	933575	3905845045	666443	968107955	34862	95630679	117861	593291998	1017903	1362728142	153765	1323894044	173668	555595738	658549	3166283428	483427	707833033	22295	66898497	83057	484377090	731357	971879017	101718	971353854	117215	380799429	423183	2231520617	342288	490701589	13384	48298850	52628	303940014	441138	572990124	65409	680658256	77099	256695789	251954	1495751205	156334	211702721	5182	16278991	21883	123835381	159670	197354931	28410	327479876	33247	104777039	91525	554773015	72850	94213280	2163	7452555	9435	50819472	57719	69448632	12911	155344964	14118	43011690	34954	224245663	34093	43139498	896	3656045	4119	20418340	18473	23782675	5055	67144213	7088	21442547	12760	91755614	27693	38077943	1041	2960901	4225	28280954	15859	21626259	5352	55409038	6131	17763216	16966	129248709
103年07月	台灣	男性	6390	12584304	1159	3321160	1859	20992826	11388	15403194	4352	36260281	3412	11362471	7714	22678551	93480	106060950	16426	32778458	19202	70497275	202955	152575499	55915	238381619	43828	97216184	124328	282870127	413266	505961881	49714	109136592	87184	354694489	859472	729365359	180972	674978513	176543	436041497	552524	1341004822	832344	1057346102	79467	184454913	166853	701243914	1485913	1451923624	269847	1113869419	315158	785095169	1070962	2737027668	1016089	1317084160	76863	169889613	200031	913173043	1580885	1799857764	277189	1357232631	346585	870638029	1281143	3631114791	986298	1328021786	63930	145865964	196095	925347730	1455889	1825289334	256574	1575915560	293893	765973882	1140528	3591763311	916804	1262487510	55044	129981524	180975	926066967	1306098	1706007646	224298	1674957169	243110	695968861	933866	3254019394	738471	1066026850	38224	102907743	135953	705175140	1058442	1421530321	160661	1386798851	173166	537416282	658695	2603410887	538913	784226674	23896	72220141	89602	501786465	754585	1010547229	103855	936842470	113649	352215872	420686	1847000960	384132	542423589	13906	45113317	57649	348231402	456192	592834970	65715	613069377	73274	242865867	251256	1233223883	178790	235660901	5146	15105256	25178	141070691	165061	203709019	28229	275291696	32105	98091348	90513	461935565	83736	108726789	2099	7478792	10546	53853643	58982	70750021	12442	128950883	13958	42637386	34868	199145920	39480	48467646	810	3030960	4492	22422835	18693	24181170	5061	50043950	6745	19159581	12674	72207553	30446	41899262	1111	3184569	4513	27604316	16601	22788514	5402	51561253	6316	17533800	17201	102997297
103年08月	台灣	男性	7143	14439469	1141	3070997	2385	29318300	12374	17291843	6068	35571190	3650	9827122	8057	19711267	99255	121004294	16152	33131128	20094	71722319	208691	151728650	90273	266037290	45988	103435360	130312	290702151	446975	596167169	49033	111942670	88024	331376059	872655	720034642	280405	770315165	182807	478379186	578034	1348954694	887151	1214533374	79592	185918090	165927	634012784	1506778	1436904228	356993	1282657896	323813	834180248	1101138	2749527057	1072280	1485723693	78512	172583480	200142	859015108	1599056	1773692029	311512	1400297948	347694	908195746	1299219	3620147554	1037251	1493629891	66270	144989570	196726	882197389	1470019	1792500694	278452	1649547588	291586	778977287	1141516	3560008728	963052	1430193075	57691	132538229	178328	852802776	1321462	1675572229	251098	1942951476	239745	692803528	945507	3346791044	776326	1201200807	40415	103233170	134050	651651383	1074072	1392796294	185357	1698267072	172128	543180822	670964	2683082279	564000	875374718	24578	74930076	87222	469311457	766348	982932357	115569	1105092817	111859	374405568	427738	1861837196	398870	603868624	14304	46121659	55830	315554480	463597	584727494	70534	700403866	72480	240088737	255339	1294863210	185544	261585277	5402	14764902	24335	123781059	170010	202506938	30308	320527696	31966	98417743	94444	466560557	84778	115594737	2208	7297332	9930	49105686	60418	72005517	13377	152013208	13008	39979802	34847	187802142	40110	52857458	886	2971269	4296	21908583	19380	22712949	5564	60283576	6438	18665882	12869	70514896	31252	46000066	1088	3776847	4183	24170874	16504	21631868	5737	56008441	6094	16373429	17296	110449193
103年09月	台灣	男性	6299	13372292	1116	2693876	2156	22435062	12701	15317097	4381	28096332	3093	9336730	8213	24149094	90968	104211344	15510	32187588	18629	67049503	199425	138054057	71330	251663582	41777	101176874	131313	335525006	392279	492197249	44609	105418982	79887	324802785	826517	673999885	216611	769552108	164362	490582327	587263	1513249427	782957	1011415354	70624	175562517	149432	625318894	1434844	1353037438	293663	1296080186	296636	892499651	1120879	3004132183	954295	1227688104	66479	158053146	173515	769971432	1512479	1640764131	273500	1331625923	315982	944159486	1347761	3906275404	918802	1220438511	51046	128691071	159651	714363950	1364439	1625605806	243203	1310458746	258389	777646755	1187775	3828065189	847738	1151055053	42839	112284646	146851	678117566	1242699	1543546854	225448	1579961468	209546	701976941	978538	3634841166	692145	985518081	31165	90010771	117960	564362541	1029196	1304471937	174404	1606365868	155307	569245297	698234	2963958235	501937	727212463	20224	67891463	80334	440706142	739858	940473310	112090	1173947082	104418	430447196	445866	2093397374	356869	508556304	12044	43948306	51821	295347278	450412	561352003	70930	811329955	68686	281896985	266854	1376941912	168786	229016882	4547	15973661	22409	121168707	166288	195762915	31757	396769932	30489	115335157	100137	526957252	76894	100012969	1683	5759984	9039	42674264	58770	68087914	13592	175335186	12592	48110296	36739	208070670	36590	44438072	668	2707752	4211	20456360	19082	23293098	5558	73693893	6257	20703542	13618	81418358	28661	39620882	856	2675634	4014	28092448	15787	20595207	5689	61869537	5885	16540307	18619	119166126
103年10月	台灣	男性	5962	12609549	1281	3268444	2178	28092384	13890	15855518	4185	28405312	3103	10317314	8267	27832302	89317	99455746	19054	44131623	18033	64731858	209254	138756388	75188	241287952	52056	139364276	135190	365928516	382184	471203159	52512	136349613	82504	318883542	847910	665966712	232387	787173391	215435	703680436	593252	1764777492	772800	981229024	82464	216928866	158095	632681116	1482887	1340196194	309793	1297479311	380515	1252357753	1125423	3427683232	951552	1224508002	77948	196334487	185012	803650459	1573170	1647572259	279246	1342478504	401565	1326601272	1340588	4286920790	917530	1223819664	59241	156993298	168127	732001642	1410898	1617204335	236406	1249951467	325527	1071687287	1164399	3971443346	844789	1143707237	48206	127132162	149698	700247908	1271271	1524673216	205310	1205991006	264637	941646369	951955	3437728105	683218	956935086	34942	98827625	117308	562554380	1049252	1289739124	159212	1148321232	195566	755855740	680779	2719087490	499215	722085699	22903	75953632	82652	458163327	764688	934123062	112338	1022138340	132527	547049022	437758	1956004319	360944	514831375	14202	50718712	55722	335670962	473298	567488690	74977	780205521	88465	379933962	263366	1257172223	173029	226913234	5260	18626769	24370	134060746	176953	198489603	33800	385120673	40523	169798491	99399	463315842	78765	100105229	2023	6975140	9569	46291418	62297	69794720	14505	176517768	16364	64403193	36646	202178555	37660	46633503	854	3680701	4198	20359287	20742	23428165	6054	73150589	8199	29989810	13271	68332709	30022	39444086	1129	4182138	4472	37656289	16628	21285238	5829	60497669	7282	22441892	18610	110252275
